batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
unstable,NA,stim_set/easy-13.png,1.7331536659985431,4.53600791599456,fall,right,7.551934415998403,correct,2.80854449999606,
unstable,NA,stim_set/hard-556.png,7.593201290997968,9.229147250000096,fall,right,12.250564999994822,incorrect,1.6474027079966618,
unstable,NA,stim_set/hard-vcom=1-5.png,12.292474875001062,13.73608129099739,fall,right,16.75182387499808,incorrect,1.4490537919991766,
unstable,NA,stim_set/easy-vcom=4-19.png,16.79814429099497,18.437694957996428,stand,left,21.459757749995333,incorrect,1.6501954999985173,
unstable,NA,stim_set/easy-77.png,21.501884375000373,22.637762332997227,fall,right,25.65903516599792,correct,1.146463875003974,
unstable,NA,stim_set/hard-82.png,25.7038664579959,28.277725665997423,fall,right,31.293995874999382,incorrect,2.5797516249949695,
unstable,NA,stim_set/hard-590.png,31.33952904099715,34.11928508299752,fall,right,37.135239915995044,correct,2.785771750001004,
unstable,NA,stim_set/hard-432.png,37.18154287499783,38.385840415998246,fall,right,41.4025552499952,correct,1.210242459004803,
unstable,NA,stim_set/hard-2.png,41.447368000001006,44.07772183299676,fall,right,47.09320054099953,incorrect,2.6354342909980915,
unstable,NA,stim_set/hard-21.png,47.134553083000355,48.37978020800074,stand,left,51.401623999998264,correct,1.2562603750047856,
unstable,NA,stim_set/easy-vcom=1-145.png,51.44592674999876,52.6128238329984,stand,left,55.6340320829986,correct,1.1779125000030035,
unstable,NA,stim_set/hard-vcom=2-144.png,55.67042829099955,59.244462374997966,stand,left,62.26115833299991,incorrect,3.5800885829958133,
unstable,NA,stim_set/easy-vcom=4-4.png,62.30336858300143,64.96261958299874,stand,left,67.98376208300033,incorrect,2.670211165997898,
unstable,NA,stim_set/hard-271.png,68.0293136659966,72.07779437499994,stand,left,75.09395362500072,correct,4.05406879200018,
unstable,NA,stim_set/hard-388.png,75.13075329099956,76.64587920800113,stand,left,79.66776945799938,correct,1.5262404169989168,
unstable,NA,stim_set/hard-vcom=2-20.png,79.71420995800145,82.29450599999836,stand,left,85.31075645799865,correct,2.5857821659956244,
unstable,NA,stim_set/easy-vcom=3-136.png,85.35108875000151,88.75273229099548,fall,right,91.76860154099995,incorrect,3.4073316669964697,
unstable,NA,stim_set/hard-442.png,91.81508508299885,94.49448216599558,fall,right,97.51053983299789,incorrect,2.6850084170000628,
unstable,NA,stim_set/hard-vcom=3-100.png,97.5522728750002,99.16314237500046,fall,right,102.18442545799917,correct,1.6214119579963153,
unstable,NA,stim_set/hard-382.png,102.22056012499525,105.15475283299747,fall,right,108.17592820799473,incorrect,2.9448577080038376,
unstable,NA,stim_set/easy-121.png,108.2223955829977,109.66256962499756,fall,right,112.68373045799672,incorrect,1.4511779160020524,
unstable,NA,stim_set/hard-552.png,112.72851000000082,114.32187749999866,stand,left,117.34215704099915,correct,1.6035607090016128,
unstable,NA,stim_set/hard-371.png,117.37853883299977,119.36294433299918,fall,right,122.38421245799691,incorrect,1.9955220830015605,
unstable,NA,stim_set/hard-439.png,122.42681658299989,124.46273520799878,fall,right,127.48383170799934,correct,2.046683207998285,
unstable,NA,stim_set/hard-345.png,127.52615316599986,128.96259320799436,fall,right,131.9843347499991,correct,1.4473833329975605,
unstable,stand,stim_set/hard-14.png,147.03430741599732,149.50273216599453,stand,left,152.51955641599488,incorrect,2.4744094999987283,
unstable,stand,stim_set/easy-vcom=1-12.png,152.56582450000133,155.14444812500005,stand,left,158.16083612499642,correct,2.5849491250046412,
unstable,stand,stim_set/hard-440.png,158.20345874999475,159.62776491599652,fall,right,162.64417699999467,correct,1.4303206670010695,
unstable,stand,stim_set/hard-vcom=4-27.png,162.6911030830015,164.6194642499977,fall,right,167.6353767499968,correct,1.9340115830054856,
unstable,stand,stim_set/hard-280.png,167.68167287499818,169.13602491599886,fall,right,172.1522388749945,incorrect,1.4602899579986115,
unstable,stand,stim_set/easy-164.png,172.19872137499624,173.60275974999968,fall,right,176.61829029100045,correct,1.4095024160051253,
unstable,stand,stim_set/easy-411.png,176.6647500409963,178.4442304999975,fall,right,181.46058758299478,correct,1.7854535410006065,
unstable,stand,stim_set/hard-vcom=4-22.png,181.50720866600022,182.71095812499698,stand,left,185.72730362499715,correct,1.2096011250032461,
unstable,stand,stim_set/easy-vcom=2-73.png,185.76870708299975,187.2791508750015,fall,right,190.30145212500065,correct,1.5218633339973167,
unstable,stand,stim_set/hard-vcom=1-92.png,190.34843095799442,191.72794116599835,fall,right,194.7443387079984,correct,1.385612541998853,
unstable,stand,stim_set/easy-586.png,194.7885075410013,195.87101112499658,fall,right,198.89189804099442,correct,1.0929747090049204,
unstable,stand,stim_set/easy-28.png,198.93643699999666,200.0361950000006,fall,right,203.05249670799822,correct,1.1058301250013756,
unstable,stand,stim_set/hard-vcom=4-139.png,203.09463508299814,206.71250908300135,stand,left,209.7339882909946,correct,3.629658334000851,
