batch_type,motivation,towers,trial_start,stim_on,choice,acc,rt,key,trial_end,score
unstable,stand,stim_set/hard-552.png,39.53136845800327,41.987071292009205,stand,correct,2.462578874983592,left,45.00383220799267,
unstable,stand,stim_set/hard-vcom=2-20.png,45.04953687501256,46.189104832999874,stand,correct,1.1503390420111828,left,49.209874249994755,
unstable,stand,stim_set/easy-vcom=4-4.png,49.2521086249908,50.37881487500272,fall,correct,1.132631374988705,right,53.39530450000893,
unstable,stand,stim_set/hard-371.png,53.43202733300859,55.33709225000348,fall,incorrect,1.9107583340082783,right,58.35271920799278,
unstable,stand,stim_set/hard-345.png,58.39484929200262,60.83082587498939,stand,incorrect,2.4466139580181334,left,63.85208995800349,
unstable,stand,stim_set/hard-388.png,63.88983983299113,64.93684058298822,stand,correct,1.053011083015008,left,67.95322424999904,
unstable,stand,stim_set/hard-556.png,67.9955580419919,69.30382533298689,stand,correct,1.3142432500026189,left,72.31995425000787,
unstable,stand,stim_set/hard-vcom=2-144.png,72.35770591700566,73.587064249994,stand,incorrect,1.2347477500152308,left,76.603232458001,
unstable,stand,stim_set/hard-382.png,76.64020749999327,77.67228595798952,stand,correct,1.0430192910134792,left,80.69332374999067,
unstable,stand,stim_set/hard-2.png,80.73903545801295,82.84560845801025,stand,correct,2.112087250017794,left,85.86124633299187,
unstable,stand,stim_set/hard-590.png,85.90730087499833,87.6620910000056,fall,correct,1.7610325409914367,right,90.6788355000026,
unstable,stand,stim_set/easy-vcom=1-145.png,90.7244069169974,93.43864016700536,stand,correct,2.7250630840135273,left,96.45980170799885,
unstable,stand,stim_set/easy-vcom=4-19.png,96.50730170801398,98.12053537499742,fall,correct,1.6188929590280168,right,101.1364019580069,
unstable,stand,stim_set/hard-vcom=1-5.png,101.1796371669916,102.33878212500713,stand,correct,1.1703143329941668,left,105.36080491699977,
unstable,stand,stim_set/easy-77.png,105.4041150000121,106.45387770800153,fall,correct,1.0562804579967633,right,109.47067425001296,
unstable,stand,stim_set/hard-432.png,109.51821320800809,110.67051762499614,fall,correct,1.1581750829936936,right,113.68669525001314,
unstable,stand,stim_set/hard-82.png,113.73339604199282,115.83710974999121,fall,incorrect,2.1096722499933094,right,118.8532510829973,
unstable,NA,stim_set/easy-vcom=1-145.png,130.65576383299776,132.12879399998928,stand,correct,1.478449999995064,left,135.14584199999808,
unstable,NA,stim_set/hard-2.png,135.1908151670068,137.03057470801286,fall,incorrect,1.8504019170068204,right,140.05151420799666,
unstable,NA,stim_set/easy-vcom=3-136.png,140.09296804200858,141.20561787500628,fall,incorrect,1.1237015830120072,right,144.2268103749957,
unstable,NA,stim_set/hard-vcom=2-144.png,144.26334866700927,145.80525845801458,stand,incorrect,1.5531127089925576,left,148.82692745799432,
unstable,NA,stim_set/hard-382.png,148.86331862499355,149.94554600000265,stand,correct,1.0876870829961263,left,152.96128099999623,
unstable,NA,stim_set/hard-388.png,152.99746537499595,154.82884770800592,stand,correct,1.8379288330033887,left,157.84555520801223,
unstable,NA,stim_set/easy-vcom=4-4.png,157.88897529200767,159.08721075000358,fall,correct,1.204200582986232,right,162.10300637499313,
unstable,NA,stim_set/hard-vcom=3-100.png,162.1465117080079,164.5705175829935,stand,incorrect,2.4299027909873985,left,167.5862339999876,
unstable,NA,stim_set/hard-439.png,167.63055500001065,168.70381274999818,fall,correct,1.0793941250012722,right,171.72021095801028,
unstable,NA,stim_set/hard-371.png,171.75650704200962,173.1536826250085,fall,incorrect,1.4028844999847934,right,176.16967770800693,
unstable,NA,stim_set/hard-442.png,176.21756487499806,177.89553241699468,fall,incorrect,1.6834311669808812,right,180.91147495800396,
unstable,NA,stim_set/hard-vcom=2-20.png,180.95835366699612,181.98709800001234,stand,correct,1.0343466670019552,left,185.0031190419977,
unstable,NA,stim_set/hard-556.png,185.04376912501175,186.07064466699376,stand,correct,1.0327384170086589,left,189.08657600000151,
unstable,NA,stim_set/easy-121.png,189.13519154200912,190.30357945800642,fall,incorrect,1.174814083991805,right,193.3200910000014,
unstable,NA,stim_set/hard-21.png,193.3628524169908,194.53725041699363,stand,correct,1.1798021669965237,left,197.5532543330046,
unstable,NA,stim_set/hard-345.png,197.59565783300786,198.80603350000456,fall,correct,1.2207944999972824,right,201.8267356250144,
unstable,NA,stim_set/hard-590.png,201.87172479199944,203.08081170800142,fall,correct,1.219664207979804,right,206.10195191699313,
unstable,NA,stim_set/easy-13.png,206.15041983299307,207.15378983301343,fall,correct,1.0085842919943389,right,210.1701692919887,
unstable,NA,stim_set/easy-vcom=4-19.png,210.21645599999465,211.33060575000127,fall,correct,1.1249902080162428,right,214.35132737501408,
unstable,NA,stim_set/hard-271.png,214.39837766700657,216.09559208300197,fall,incorrect,1.7028425419994164,right,219.11147187498864,
unstable,NA,stim_set/hard-552.png,219.15765641699545,220.33706766698742,stand,correct,1.1858284580230247,left,223.35357554198708,
unstable,NA,stim_set/easy-77.png,223.39568420799333,224.52052287501283,fall,correct,1.130505584005732,right,227.53696362499613,
unstable,NA,stim_set/hard-82.png,227.5815107919916,229.01424487499753,stand,correct,1.4433412499784026,left,232.03502591699362,
unstable,NA,stim_set/hard-vcom=1-5.png,232.07653087499784,233.65380137501052,stand,correct,1.5835035420022905,left,236.67037033301312,
unstable,NA,stim_set/hard-432.png,236.7166486250062,237.79515424999408,fall,correct,1.0843407920037862,right,240.811317374988,
